tag,ID,originProvince,targetProvince,basePrice,scalePrice
安徽安徽,1,安徽,安徽,6.70 ,1.63 
安徽北京,2,安徽,北京,9.00 ,2.43 
安徽福建,3,安徽,福建,7.85 ,2.20 
安徽甘肃,4,安徽,甘肃,9.00 ,4.16 
安徽广东,5,安徽,广东,7.85 ,2.43 
安徽广西,6,安徽,广西,8.43 ,3.01 
安徽贵州,7,安徽,贵州,8.43 ,3.01 
安徽海南,8,安徽,海南,9.00 ,3.24 
安徽河北,9,安徽,河北,7.85 ,2.20 
安徽河南,10,安徽,河南,7.85 ,2.09 
安徽黑龙江,11,安徽,黑龙,9.81 ,3.58 
安徽湖北,12,安徽,湖北,7.85 ,2.09 
安徽湖南,13,安徽,湖南,7.85 ,2.20 
安徽吉林,14,安徽,吉林,8.43 ,2.89 
安徽江苏,15,安徽,江苏,7.28 ,1.74 
安徽江西,16,安徽,江西,7.85 ,2.20 
安徽辽宁,17,安徽,辽宁,8.43 ,3.24 
安徽内蒙古,18,安徽,内蒙,9.00 ,4.39 
安徽宁夏,19,安徽,宁夏,10.15 ,5.19 
安徽青海,20,安徽,青海,10.73 ,6.23 
安徽山东,21,安徽,山东,7.85 ,2.20 
安徽山西,22,安徽,山西,7.85 ,2.43 
安徽陕西,23,安徽,陕西,8.43 ,2.78 
安徽上海,24,安徽,上海,8.43 ,2.20 
安徽四川,25,安徽,四川,9.00 ,3.35 
安徽天津,26,安徽,天津,7.85 ,2.20 
安徽西藏,27,安徽,西藏,17.05 ,13.70 
安徽新疆,28,安徽,新疆,14.75 ,11.40 
安徽云南,29,安徽,云南,9.00 ,3.81 
安徽浙江,30,安徽,浙江,7.28 ,1.97 
安徽重庆,31,安徽,重庆,8.43 ,2.89 
北京安徽,32,北京,安徽,7.85 ,2.20 
北京北京,33,北京,北京,7.85 ,1.63 
北京福建,34,北京,福建,8.43 ,2.66 
北京甘肃,35,北京,甘肃,8.43 ,3.93 
北京广东,36,北京,广东,8.43 ,2.78 
北京广西,37,北京,广西,8.43 ,3.01 
北京贵州,38,北京,贵州,8.43 ,2.89 
北京海南,39,北京,海南,9.58 ,3.93 
北京河北,40,北京,河北,7.28 ,1.86 
北京河南,41,北京,河南,7.85 ,2.20 
北京黑龙江,42,北京,黑龙,9.00 ,4.50 
北京湖北,43,北京,湖北,7.85 ,2.20 
北京湖南,44,北京,湖南,8.43 ,2.78 
北京吉林,45,北京,吉林,7.85 ,2.55 
北京江苏,46,北京,江苏,7.85 ,2.20 
北京江西,47,北京,江西,8.43 ,2.78 
北京辽宁,48,北京,辽宁,7.85 ,2.20 
